GM_CODE,GM_NAAM,H2O,OAD,STED,BEV_DICHTH,AANT_INW,AANT_MAN,AANT_VROUW,P_00_14_JR,P_15_24_JR,P_25_44_JR,P_45_64_JR,P_65_EO_JR,P_ONGEHUWD,P_GEHUWD,P_GESCHEID,P_VERWEDUW,AANTAL_HH,P_EENP_HH,P_HH_Z_K,P_HH_M_K,GEM_HH_GR,P_WEST_AL,P_N_W_AL,P_MAROKKO,P_ANT_ARU,P_SURINAM,P_TURKIJE,P_OVER_NW,OPP_TOT,OPP_LAND,OPP_WATER,JRSTATCODE,JAAR,Shape_Leng,Shape_Area
GM0014,Groningen,NEE,"3312","1","1257","233273","116177","117096","12","21","30","22","15","66","24","7","4","136508","59","23","19",1.7000000000,"13","12","1","0","1","1","9","19796","18560","1236",2021GM0014,"2021",98454.0115190000,197960472.6599999964
GM0034,Almere,NEE,"1616","2","1662","214715","106523","108192","18","13","28","28","12","53","36","9","3","90426","32","25","43",2.3000000000,"11","34","4","0","12","2","16","24877","12919","11958",2021GM0034,"2021",77001.5606980000,139203837.1599999964
GM0037,Stadskanaal,NEE,"836","4","270","31754","15659","16095","14","11","20","30","26","41","43","9","8","14604","36","33","31",2.1000000000,"5","4","0","0","0","0","3","11994","11764","230",2021GM0037,"2021",64057.9482530000,119944106.0100000054
GM0047,Veendam,NEE,"1007","3","361","27417","13700","13717","15","11","21","30","23","43","41","9","6","12676","35","32","33",2.1000000000,"6","8","0","0","1","3","4","7868","7600","268",2021GM0047,"2021",39605.3186970000,78678839.2800000012
GM0050,Zeewolde,NEE,"822","4","93","22879","11662","11217","17","13","24","31","14","46","43","8","3","9720","31","30","39",2.3000000000,"12","6","0","0","1","0","4","26886","24723","2163",2021GM0050,"2021",98901.6632410000,252528289.2899999917
GM0059,Achtkarspelen,NEE,"429","5","273","27900","14217","13683","17","12","22","28","21","46","42","7","6","11845","31","32","38",2.3000000000,"2","2","0","0","0","0","2","10398","10223","175",2021GM0059,"2021",56246.8158740000,103980831.5300000012
GM0060,Ameland,NEE,"255","5","63","3746","1885","1861","15","11","23","27","24","47","42","6","6","1768","40","31","29",2.1000000000,"6","2","0","0","0","0","2","26850","5911","20939",2021GM0060,"2021",66541.3132570000,59907301.1560000032
GM0072,Harlingen,NEE,"1086","3","633","15807","7926","7881","14","11","20","29","26","44","40","10","6","7566","39","31","29",2.1000000000,"8","5","1","0","1","0","3","38767","2496","36271",2021GM0072,"2021",46423.7714930000,25835291.3770000003
GM0074,Heerenveen,NEE,"1092","3","266","50650","25207","25443","16","12","22","29","22","46","39","8","6","22960","36","31","33",2.2000000000,"6","7","1","0","1","1","4","19817","19009","808",2021GM0074,"2021",103700.6174500000,198165256.9000000060
GM0080,Leeuwarden,NEE,"2148","2","523","124481","61941","62540","15","15","26","26","19","54","32","9","5","63416","47","27","27",1.9000000000,"8","10","1","0","1","0","7","25506","23782","1724",2021GM0080,"2021",127164.7329400000,255057370.3300000131
