" ,""aandeel woonplaats is werkplaats ( %)"""
"Aa en Hunze,""20"""
"Aalburg,""29,31"""
"Aalsmeer,""28,85"""
"Aalten,""37,1"""
"Achtkarspelen,""31,3"""
"Alblasserdam,""20,22"""
"Albrandswaard,""14,29"""
"Alkmaar,""37,43"""
"Almelo,""45,51"""
"Almere,""36,13"""
"Alphen aan den Rijn,""34,92"""
"Alphen-Chaam,""19,15"""
"Ameland,""80"""
"Amersfoort,""34,81"""
"Amstelveen,""22,82"""
"Amsterdam,""67,55"""
"Apeldoorn,""55,85"""
"Appingedam,""22,92"""
"Arnhem,""43,67"""
"Assen,""48,2"""
"Asten,""34,62"""
"Baarle-Nassau,""32"""
"Baarn,""24,51"""
"Barendrecht,""18,78"""
"Barneveld,""46,18"""
"Bedum,""17,39"""
"Beek (L.),""12,68"""
"Beemster,""17,95"""
"Beesel,""21,88"""
"Bellingwedde,""25"""
"Bergeijk,""36,78"""
"Bergen (L.),""24,19"""
"Bergen (NH.),""27,43"""
"Bergen op Zoom,""43,21"""
"Berkelland,""35,82"""
"Bernheze,""24,31"""
"Best,""24,29"""
"Beuningen,""17,46"""
"Beverwijk,""24,48"""
"Binnenmaas,""24,81"""
"Bladel,""43"""
"Blaricum,""16,67"""
"Bloemendaal,""13,58"""
"Bodegraven-Reeuwijk,""27,56"""
"Boekel,""22"""
"Borger-Odoorn,""18,1"""
"Borne,""22,33"""
"Borsele,""25,47"""
"Boxmeer,""35,56"""
"Boxtel,""33,81"""
"Breda,""47,13"""
"Brielle,""15,58"""
"Bronckhorst,""31,88"""
"Brummen,""30,53"""
"Brunssum,""17,8"""
"Bunnik,""14,93"""
"Bunschoten,""50,49"""
"Buren,""20,51"""
"Bussum,""19,85"""
"Capelle aan den IJssel,""18,52"""
"Castricum,""21,15"""
"Coevorden,""31,72"""
"Cranendonck,""33,33"""
"Cromstrijen,""23,33"""
"Cuijk,""31,03"""
"Culemborg,""27,34"""
"Dalfsen,""29,1"""
"Dantumadiel,""21,05"""
"De Bilt,""19,77"""
"De Friese Meren,""38,71"""
"De Marne,""25"""
"De Ronde Venen,""29,8"""
"De Wolden,""20,39"""
"Delft,""37,89"""
"Delfzijl,""40,82"""
"Den Helder,""62,75"""
"Deurne,""35,14"""
"Deventer,""46,14"""
"Diemen,""10,24"""
"Dinkelland,""38,58"""
"Doesburg,""17,39"""
