steps,g,m,n_evs,VTG_percentage,charging_speed_min,charging_speed_max,l_dep,m_dep,h_dep,offset_dep,l_dwell,m_dwell,h_dwell,offset_dwell,average_driving_speed,l_vol,m_vol,h_vol,l_energy,m_energy,h_energy,p_smart,seed,p_pref,pref_home,pref_strictness,weekend_week_ratio
10,0.000076,3,17400,0.15,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,0.2,421,0.7,0.9,0.9,0.8
10,0.000076,3,17400,0.25,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,0.21,421,0.7,0.9,0.9,0.8
10,0.000076,3,17400,0.35,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,0.22,421,0.7,0.9,0.9,0.8
10,0.000076,3,17400,0.45,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,0.23,421,0.7,0.9,0.9,0.8
10,0.000076,3,17400,0.55,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,0.24,421,0.7,0.9,0.9,0.8
10,0.000076,3,17400,0.65,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,0.25,421,0.7,0.9,0.9,0.8
10,0.000076,3,17400,0.75,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,0.26,421,0.7,0.9,0.9,0.8
10,0.000076,3,17400,0.85,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,0.27,421,0.7,0.9,0.9,0.8
10,0.000076,3,17400,0.95,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,0.28,421,0.7,0.9,0.9,0.8
10,0.000076,3,17400,0.15,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,0.29,421,0.7,0.9,0.9,0.8
10,0.000076,3,17400,0.15,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,0.3,421,0.7,0.9,0.9,0.8
10,0.000076,3,17400,0.15,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,0.31,421,0.7,0.9,0.9,0.8
10,0.000076,3,17400,0.15,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,0.32,421,0.7,0.9,0.9,0.8
10,0.000076,3,17400,0.15,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,0.33,421,0.7,0.9,0.9,0.8
