sample_id,seed,min_average_battery_percentage,mean_average_battery_percentage,min_power_demand,mean_power_demand,max_power_demand,min_VTG_capacity,mean_VTG_capacity,max_VTG_capacity,min_mean_charging,mean_mean_charging,max_mean_charging
0,86578097163493939736796028679458741811,97.95496476490128,99.51239819555724,60.18580830411675,40205.53660253426,1739370.496699406,5.973315154836568,4038.7817538347554,122251.20624988955,4.597701149425287e-05,0.023629334345735258,1.0
1,86578097163493939736796028679458741811,97.95496476490128,99.51239819555724,60.18580830411675,40205.53660253426,1739370.496699406,5.973315154836568,4038.7817538347554,122251.20624988955,4.597701149425287e-05,0.023629334345735258,1.0
2,86578097163493939736796028679458741811,97.95496476490128,99.51239819555724,60.18580830411675,40205.53660253426,1739370.496699406,5.973315154836568,4038.7817538347554,122251.20624988955,4.597701149425287e-05,0.023629334345735258,1.0
3,86578097163493939736796028679458741811,97.95496476490128,99.51239819555724,60.18580830411675,40205.53660253426,1739370.496699406,5.973315154836568,4038.7817538347554,122251.20624988955,4.597701149425287e-05,0.023629334345735258,1.0
4,86578097163493939736796028679458741811,96.53239926178651,98.70829882061491,73.38155598159823,38547.96480338337,1564536.8170392064,5.973315154836568,6021.08626172859,176581.3585370821,5.747126436781609e-05,0.022697169638415414,0.8993850574712644
5,86578097163493939736796028679458741811,96.53239926178651,98.70829882061491,73.38155598159823,38547.96480338337,1564536.8170392064,5.973315154836568,6021.08626172859,176581.3585370821,5.747126436781609e-05,0.022697169638415414,0.8993850574712644
6,86578097163493939736796028679458741811,96.53239926178651,98.70829882061491,73.38155598159823,38547.96480338337,1564536.8170392064,5.973315154836568,6021.08626172859,176581.3585370821,5.747126436781609e-05,0.022697169638415414,0.8993850574712644
7,86578097163493939736796028679458741811,96.53239926178651,98.70829882061491,73.38155598159823,38547.96480338337,1564536.8170392064,5.973315154836568,6021.08626172859,176581.3585370821,5.747126436781609e-05,0.022697169638415414,0.8993850574712644
8,86578097163493939736796028679458741811,95.10316253977679,97.89239377887893,56.45436086113169,36894.15787058157,1391206.2506039506,5.973315154836568,7979.997109402428,348749.87991390214,4.597701149425287e-05,0.021764267448659877,0.7992528735632184
9,86578097163493939736796028679458741811,95.10316253977679,97.89239377887893,56.45436086113169,36894.15787058157,1391206.2506039506,5.973315154836568,7979.997109402428,348749.87991390214,4.597701149425287e-05,0.021764267448659877,0.7992528735632184
10,86578097163493939736796028679458741811,95.10316253977679,97.89239377887893,56.45436086113169,36894.15787058157,1391206.2506039506,5.973315154836568,7979.997109402428,348749.87991390214,4.597701149425287e-05,0.021764267448659877,0.7992528735632184
11,86578097163493939736796028679458741811,95.10316253977679,97.89239377887893,56.45436086113169,36894.15787058157,1391206.2506039506,5.973315154836568,7979.997109402428,348749.87991390214,4.597701149425287e-05,0.021764267448659877,0.7992528735632184
12,86578097163493939736796028679458741811,93.66537784918782,97.08823544691894,63.560481071221346,35263.574839034576,1219204.442310417,5.973315154836568,9929.384238223087,520413.07860506,4.597701149425287e-05,0.02084694402988331,0.7002011494252873
13,86578097163493939736796028679458741811,93.66537784918782,97.08823544691894,63.560481071221346,35263.574839034576,1219204.442310417,5.973315154836568,9929.384238223087,520413.07860506,4.597701149425287e-05,0.02084694402988331,0.7002011494252873
14,86578097163493939736796028679458741811,93.66537784918782,97.08823544691894,63.560481071221346,35263.574839034576,1219204.442310417,5.973315154836568,9929.384238223087,520413.07860506,4.597701149425287e-05,0.02084694402988331,0.7002011494252873
15,86578097163493939736796028679458741811,93.66537784918782,97.08823544691894,63.560481071221346,35263.574839034576,1219204.442310417,5.973315154836568,9929.384238223087,520413.07860506,4.597701149425287e-05,0.02084694402988331,0.7002011494252873
16,86578097163493939736796028679458741811,92.152735010713,96.28050014408257,103.25689130403518,33588.47516936563,1042670.3839368871,5.973315154836568,11929.508035684437,696828.4331041792,8.045977011494253e-05,0.01991522006650433,0.5993333333333334
17,86578097163493939736796028679458741811,92.152735010713,96.28050014408257,103.25689130403518,33588.47516936563,1042670.3839368871,5.973315154836568,11929.508035684437,696828.4331041792,8.045977011494253e-05,0.01991522006650433,0.5993333333333334
18,86578097163493939736796028679458741811,92.152735010713,96.28050014408257,103.25689130403518,33588.47516936563,1042670.3839368871,5.973315154836568,11929.508035684437,696828.4331041792,8.045977011494253e-05,0.01991522006650433,0.5993333333333334
19,86578097163493939736796028679458741811,92.152735010713,96.28050014408257,103.25689130403518,33588.47516936563,1042670.3839368871,5.973315154836568,11929.508035684437,696828.4331041792,8.045977011494253e-05,0.01991522006650433,0.5993333333333334
20,86578097163493939736796028679458741811,90.6432863849673,95.47827369577908,77.63238052267282,31927.446116478222,870462.1079436524,5.973315154836568,13885.996856112615,870329.124017449,5.172413793103448e-05,0.01898124001780431,0.5005689655172414
21,86578097163493939736796028679458741811,90.6432863849673,95.47827369577908,77.63238052267282,31927.446116478222,870462.1079436524,5.973315154836568,13885.996856112615,870329.124017449,5.172413793103448e-05,0.01898124001780431,0.5005689655172414
22,86578097163493939736796028679458741811,90.6432863849673,95.47827369577908,77.63238052267282,31927.446116478222,870462.1079436524,5.973315154836568,13885.996856112615,870329.124017449,5.172413793103448e-05,0.01898124001780431,0.5005689655172414
23,86578097163493939736796028679458741811,90.6432863849673,95.47827369577908,77.63238052267282,31927.446116478222,870462.1079436524,5.973315154836568,13885.996856112615,870329.124017449,5.172413793103448e-05,0.01898124001780431,0.5005689655172414
24,86578097163493939736796028679458741811,89.06068248698304,94.67752377057535,106.00304844621525,30293.518457108337,1043691.6473709276,13.236770216225201,15871.395907870157,1043569.2686288448,6.896551724137931e-05,0.018064793723108076,0.6001091954022989
25,86578097163493939736796028679458741811,89.06068248698304,94.67752377057535,106.00304844621525,30293.518457108337,1043691.6473709276,13.236770216225201,15871.395907870157,1043569.2686288448,6.896551724137931e-05,0.018064793723108076,0.6001091954022989
26,86578097163493939736796028679458741811,89.06068248698304,94.67752377057535,106.00304844621525,30293.518457108337,1043691.6473709276,13.236770216225201,15871.395907870157,1043569.2686288448,6.896551724137931e-05,0.018064793723108076,0.6001091954022989
27,86578097163493939736796028679458741811,89.06068248698304,94.67752377057535,106.00304844621525,30293.518457108337,1043691.6473709276,13.236770216225201,15871.395907870157,1043569.2686288448,6.896551724137931e-05,0.018064793723108076,0.6001091954022989
28,86578097163493939736796028679458741811,87.40473306491533,93.870777123495,89.43321798588023,28619.34577693768,1217935.7505720614,7.314445606622129,17839.411410703542,1217843.9072659973,5.747126436781609e-05,0.01712270136761536,0.7005747126436782
