sample_id,VTG_percentage,p_smart,pref_home
0,0.7,0.3,1.0
1,0.7,0.4,0.0
2,0.7,0.4,0.25
3,0.7,0.4,0.75
4,0.7,0.4,1.0
5,0.7,0.5,0.0
6,0.7,0.5,0.25
7,0.7,0.5,0.75
8,0.7,0.5,1.0
9,0.7,0.6,0.0
10,0.7,0.6,0.25
11,0.7,0.6,0.75
12,0.7,0.6,1.0
13,0.7,0.7,0.0
14,0.7,0.7,0.25
15,0.7,0.7,0.75
16,0.7,0.7,1.0
17,0.7,0.8,0.0
18,0.7,0.8,0.25
19,0.7,0.8,0.75
20,0.7,0.8,1.0
21,0.7,0.9,0.0
22,0.7,0.9,0.25
23,0.7,0.9,0.75
24,0.7,0.9,1.0
25,0.7,1.0,0.0
26,0.7,1.0,0.25
27,0.7,1.0,0.75
28,0.7,1.0,1.0
29,0.8,0.0,0.0
30,0.8,0.0,0.25
31,0.8,0.0,0.75
32,0.8,0.0,1.0
33,0.8,0.1,0.0
34,0.8,0.1,0.25
35,0.8,0.1,0.75
36,0.8,0.1,1.0
37,0.8,0.2,0.0
38,0.8,0.2,0.25
39,0.8,0.2,0.75
40,0.8,0.2,1.0
41,0.8,0.3,0.0
42,0.8,0.3,0.25
43,0.8,0.3,0.75
44,0.8,0.3,1.0
45,0.8,0.4,0.0
46,0.8,0.4,0.25
47,0.8,0.4,0.75
48,0.8,0.4,1.0
49,0.8,0.5,0.0
50,0.8,0.5,0.25
51,0.8,0.5,0.75
52,0.8,0.5,1.0
53,0.8,0.6,0.0
54,0.8,0.6,0.25
55,0.8,0.6,0.75
56,0.8,0.6,1.0
57,0.8,0.7,0.0
58,0.8,0.7,0.25
59,0.8,0.7,0.75
60,0.8,0.7,1.0
61,0.8,0.8,0.0
62,0.8,0.8,0.25
63,0.8,0.8,0.75
64,0.8,0.8,1.0
65,0.8,0.9,0.0
66,0.8,0.9,0.25
67,0.8,0.9,0.75
68,0.8,0.9,1.0
69,0.8,1.0,0.0
70,0.8,1.0,0.25
71,0.8,1.0,0.75
72,0.8,1.0,1.0
73,0.9,0.0,0.0
74,0.9,0.0,0.25
75,0.9,0.0,0.75
76,0.9,0.0,1.0
77,0.9,0.1,0.0
78,0.9,0.1,0.25
79,0.9,0.1,0.75
80,0.9,0.1,1.0
81,0.9,0.2,0.0
82,0.9,0.2,0.25
83,0.9,0.2,0.75
84,0.9,0.2,1.0
85,0.9,0.3,0.0
86,0.9,0.3,0.25
87,0.9,0.3,0.75
88,0.9,0.3,1.0
89,0.9,0.4,0.0
90,0.9,0.4,0.25
91,0.9,0.4,0.75
92,0.9,0.4,1.0
93,0.9,0.5,0.0
94,0.9,0.5,0.25
95,0.9,0.5,0.75
96,0.9,0.5,1.0
97,0.9,0.6,0.0
98,0.9,0.6,0.25
99,0.9,0.6,0.75
100,0.9,0.6,1.0
101,0.9,0.7,0.0
102,0.9,0.7,0.25
103,0.9,0.7,0.75
104,0.9,0.7,1.0
105,0.9,0.8,0.0
106,0.9,0.8,0.25
107,0.9,0.8,0.75
108,0.9,0.8,1.0
109,0.9,0.9,0.0
110,0.9,0.9,0.25
111,0.9,0.9,0.75
112,0.9,0.9,1.0
113,0.9,1.0,0.0
114,0.9,1.0,0.25
115,0.9,1.0,0.75
116,0.9,1.0,1.0
117,1.0,0.0,0.0
118,1.0,0.0,0.25
119,1.0,0.0,0.75
120,1.0,0.0,1.0
121,1.0,0.1,0.0
122,1.0,0.1,0.25
123,1.0,0.1,0.75
124,1.0,0.1,1.0
125,1.0,0.2,0.0
126,1.0,0.2,0.25
127,1.0,0.2,0.75
128,1.0,0.2,1.0
129,1.0,0.3,0.0
130,1.0,0.3,0.25
131,1.0,0.3,0.75
132,1.0,0.3,1.0
133,1.0,0.4,0.0
134,1.0,0.4,0.25
135,1.0,0.4,0.75
136,1.0,0.4,1.0
137,1.0,0.5,0.0
138,1.0,0.5,0.25
139,1.0,0.5,0.75
140,1.0,0.5,1.0
141,1.0,0.6,0.0
142,1.0,0.6,0.25
143,1.0,0.6,0.75
144,1.0,0.6,1.0
145,1.0,0.7,0.0
146,1.0,0.7,0.25
147,1.0,0.7,0.75
148,1.0,0.7,1.0
149,1.0,0.8,0.0
150,1.0,0.8,0.25
151,1.0,0.8,0.75
152,1.0,0.8,1.0
153,1.0,0.9,0.0
154,1.0,0.9,0.25
155,1.0,0.9,0.75
156,1.0,0.9,1.0
157,1.0,1.0,0.0
158,1.0,1.0,0.25
159,1.0,1.0,0.75
160,1.0,1.0,1.0
