iteration,seed,min_average_battery_percentage,mean_average_battery_percentage,min_power_demand,mean_power_demand,max_power_demand,min_VTG_capacity,mean_VTG_capacity,max_VTG_capacity,min_mean_charging,mean_mean_charging,max_mean_charging
0,166924861772496899603860059189978869135,70.04565253864523,78.58128021703487,1e-10,24670.70432954207,680591.5157325503,682.6487977932316,296697.37097861106,1284788.2917268365,1e-10,0.014763811918445538,0.3902701149425287
1,253111574119584909461207655719826370763,70.19120926871744,78.70126592754647,1e-10,24772.823998633467,682111.9981653059,557.1642903527779,298490.120109528,1289995.3678565854,1e-10,0.01483935413245758,0.39121264367816094
2,217232595368839726076791853128161652622,70.13078622967747,78.64082488478176,1e-10,24745.318142055185,675577.3461367483,616.4896482704172,297964.31454554544,1280034.2531060402,1e-10,0.014808869560755339,0.3882873563218391
3,151176995722345583630576090628770654559,70.1771265612806,78.69259042600855,1e-10,24831.04009250878,677948.4942811502,620.1313789450975,299382.13340248965,1285006.983519226,1e-10,0.01486728585112206,0.3891954022988506
4,238475214979677595532151521587725098972,70.04865701492868,78.5808387686562,1e-10,24634.654747759232,680865.3276632914,595.4932437373299,296893.7340659709,1284895.554607282,1e-10,0.014728106185002738,0.38976436781609197
5,22827367359994277880779063933807656021,69.99321745308858,78.56019342718622,1e-10,24660.860978076915,678574.0584692182,540.2029818340285,297348.44790502335,1282476.8772841112,1e-10,0.014749786193212919,0.388816091954023
6,66091340505793550171461313806656278333,70.07939469041101,78.63243287914298,1e-10,24707.528535472906,677803.0739077813,693.902837598113,298323.3644326649,1283213.0346629305,1e-10,0.014795510912698415,0.3888390804597701
7,234991763028092834865355468291527448192,70.2516489634633,78.73037322814211,1e-10,24724.430592698063,677004.2011642561,651.3925288784743,298248.0127416608,1281019.7863233876,1e-10,0.014787373426382047,0.3884712643678161
8,175803821077918259760608091633026920557,70.06888654204926,78.59261216125083,1e-10,24732.94963527006,680405.2832757302,688.4550699763228,298308.700790657,1286606.614987615,1e-10,0.014788805931855501,0.38977586206896553
9,331576288970112275568912833907442049836,70.1093086654412,78.64174012754226,1e-10,24751.218976797558,676528.7342586578,658.5855535530819,297667.3659428854,1280211.6736571288,1e-10,0.014820586172687465,0.3884367816091954
10,112257819904200668410579826965953798827,70.24688222290094,78.71867436586001,1e-10,24749.138300564075,673848.334210672,608.9518657463444,299260.8395855714,1278663.0183978362,1e-10,0.014829275280514505,0.3865919540229885
11,193722351189374287917505180269302465800,70.23471726422947,78.71881654374299,1e-10,24707.391084410705,678790.4364261784,686.4345820041666,298126.4682805457,1283610.0221686407,1e-10,0.014789870689655173,0.3892701149425287
12,230994764049484768537099623331188754464,70.20495433705742,78.70972612505965,1e-10,24760.824544240204,680029.2908571515,540.8027397337631,299139.641249889,1286738.6477536757,1e-10,0.014828783524904214,0.39000574712643676
13,187820092397451075009333374581231187796,69.89007275468362,78.46444505609512,1e-10,24645.075309678785,676475.6060441919,689.1430537062621,296076.04238603776,1278746.5040451807,1e-10,0.014741032943349754,0.3877471264367816
14,236498328676957104142210079331702656260,70.2112764599226,78.71648941945068,1e-10,24723.92430260867,675302.9495631251,529.3302730607201,298298.17372510605,1279092.8735309402,1e-10,0.014781027640941434,0.38682183908045975
15,21819250381048423504492432368803337919,70.23935426542168,78.72482132670497,1e-10,24717.32305763924,679291.5902965799,634.3985412365138,298624.07643973356,1285943.02231289,1e-10,0.014782383175971539,0.3895229885057471
16,10396721642911437205295506761577592692,70.16594635318944,78.67101304079638,1e-10,24715.458535155904,680887.6473327406,475.450696825073,297724.09452131984,1286779.24334572,1e-10,0.014784931752873563,0.39064367816091955
17,61208373955919376547577343592561599978,70.22111209423818,78.72841848306257,1e-10,24672.514835794816,680580.490025218,607.9873116868598,298066.04660630244,1285910.9023375935,1e-10,0.014771256670771758,0.3904655172413793
18,26464505280726496983839296380177834938,69.96570420464565,78.52154199668442,1e-10,24708.652123355627,678319.569642375,506.8290427034762,297731.5354440621,1283398.6659413949,1e-10,0.014763161945812807,0.38795977011494254
19,294295596557175988133637598913763899338,70.11262527235503,78.63704862195756,1e-10,24767.524419749203,674935.4946255414,611.9068168861144,297828.08173272625,1278661.842886203,1e-10,0.014819004002463054,0.38707471264367815
