"Municipality,""Afstand woon-werk 2015 ( km)"""
"Aa en Hunze,""31,5"""
"Aalburg,""21,1"""
"Aalsmeer,""14,5"""
"Aalten,""26,2"""
"Achtkarspelen,""27,3"""
"Alblasserdam,""17,6"""
"Albrandswaard,""17,3"""
"Alkmaar,""21,9"""
"Almelo,""22"""
"Almere,""32,3"""
"Alphen aan den Rijn,""19,3"""
"Alphen-Chaam,""23,2"""
"Ameland,""24,7"""
"Amersfoort,""22,4"""
"Amstelveen,""14,5"""
"Amsterdam,""14,9"""
"Apeldoorn,""26,4"""
"Appingedam,""29"""
"Arnhem,""24,6"""
"Assen,""27,7"""
"Asten,""21,5"""
"Baarle-Nassau,""24"""
"Baarn,""19,8"""
"Barendrecht,""17,7"""
"Barneveld,""18,2"""
"Bedum,""26,4"""
"Beek (L.),""27,8"""
"Beemster,""18,7"""
"Beesel,""25"""
"Bellingwedde,""35,7"""
"Bergeijk,""17,9"""
"Bergen (L.),""27,3"""
"Bergen (NH.),""22"""
"Bergen op Zoom,""29,1"""
"Berkelland,""27,6"""
"Bernheze,""18,5"""
"Best,""21,5"""
"Beuningen,""23,3"""
"Beverwijk,""17,9"""
"het Bildt,""28,7"""
"De Bilt,""19,5"""
"Binnenmaas,""21,1"""
"Bladel,""17,8"""
"Blaricum,""19,6"""
"Bloemendaal,""19,3"""
"Bodegraven-Reeuwijk,""19"""
"Boekel,""18,9"""
"Ten Boer,""28,7"""
"Borger-Odoorn,""33,6"""
"Borne,""20,5"""
"Borsele,""31,8"""
"Boxmeer,""25,9"""
"Boxtel,""19,9"""
"Breda,""25,5"""
"Brielle,""22,4"""
"Bronckhorst,""25,2"""
"Brummen,""24,8"""
"Brunssum,""29"""
"Bunnik,""18,9"""
"Bunschoten,""13,9"""
"Buren,""24,6"""
"Bussum,""19,9"""
"Capelle aan den IJssel,""17,7"""
"Castricum,""20,2"""
"Coevorden,""29,4"""
"Cranendonck,""24,4"""
"Cromstrijen,""23,9"""
"Cuijk,""28,9"""
"Culemborg,""28"""
"Dalfsen,""24,3"""
"Dantumadiel,""24,1"""
"Delft,""18,7"""
"Delfzijl,""35,9"""
"Deurne,""22,7"""
"Deventer,""25,5"""
"Diemen,""15,5"""
"Dinkelland,""19,9"""
"Doesburg,""29,8"""
"Doetinchem,""27,1"""
"Dongen,""20,7"""
"Dongeradeel,""28,6"""
"Dordrecht,""22"""
"Drechterland,""21,3"""
"Drimmelen,""22,2"""
"Dronten,""35,8"""
"Druten,""24,7"""
"Duiven,""25,4"""
"Echt-Susteren,""28,7"""
"Edam-Volendam,""13,9"""
"Ede,""21,5"""
"Eemnes,""18,5"""
"Eemsmond,""36,7"""
"Eersel,""19,4"""
"Eijsden-Margraten,""27,9"""
"Eindhoven,""22,5"""
"Elburg,""33,7"""
"Emmen,""30,8"""
"Enkhuizen,""25,6"""
"Enschede,""24,9"""
"Epe,""26,1"""
"Ermelo,""21,3"""
"Etten-Leur,""23,5"""
"Ferwerderadiel,""26,8"""
"Franekeradeel,""28,8"""
"De Friese Meren,""30"""
"Geertruidenberg,""21,4"""
"Geldermalsen,""26,3"""
"Geldrop-Mierlo,""23,4"""
"Gemert-Bakel,""21"""
"Gennep,""25,5"""
"Giessenlanden,""19,2"""
"Gilze en Rijen,""21,7"""
"Goeree-Overflakkee,""27,6"""
"Goes,""30,1"""
"Goirle,""19"""
"Gorinchem,""22,8"""
"Gouda,""20,2"""
"Grave,""25,4"""
"'s-Gravenhage (gemeente),""17,9"""
"Groesbeek,""23,8"""
"Groningen (gemeente),""26,2"""
"Grootegast,""29,8"""
"Gulpen-Wittem,""30"""
"Haaksbergen,""22,1"""
"Haaren,""17,7"""
"Haarlem,""17,9"""
"Haarlemmerliede en Spaarnwoude,""16,5"""
"Haarlemmermeer,""16,8"""
"Halderberge,""23,8"""
"Hardenberg,""24,3"""
"Harderwijk,""26,2"""
"Hardinxveld-Giessendam,""17,7"""
"Haren,""23,4"""
"Harlingen,""32,7"""
"Hattem,""27,2"""
"Heemskerk,""17,3"""
"Heemstede,""17,1"""
"Heerde,""28,3"""
"Heerenveen,""26"""
"Heerhugowaard,""21,7"""
"Heerlen,""28,2"""
"Heeze-Leende,""23,4"""
"Heiloo,""21,5"""
"Den Helder,""24,3"""
"Hellendoorn,""22"""
"Hellevoetsluis,""26"""
"Helmond,""25"""
"Hendrik-Ido-Ambacht,""19,4"""
"Hengelo (O.),""21,3"""
"'s-Hertogenbosch,""23,8"""
"Heumen,""20,9"""
"Heusden,""20,7"""
"Hillegom,""18"""
"Hilvarenbeek,""20,3"""
"Hilversum,""18,7"""
"Hof van Twente,""21,9"""
"Hollands Kroon,""27,6"""
"Hoogeveen,""24,8"""
"Hoogezand-Sappemeer,""26,1"""
"Hoorn,""25"""
"Horst aan de Maas,""22"""
"Houten,""20,4"""
"Huizen,""19,6"""
"Hulst,""40,8"""
"IJsselstein,""18,8"""
"Kaag en Braassem,""18,2"""
"Kampen,""24,5"""
"Kapelle,""31,9"""
"Katwijk,""16,2"""
"Kerkrade,""29,9"""
"Koggenland,""19,1"""
